iter	RMSE
0	14.01248207
1	13.16913284
2	12.37932146
3	11.64448636
4	10.97419888
5	10.45346364
6	9.887258618
7	9.405307007
8	9.001138586
9	8.572836462
10	8.213952178
11	7.921972511
12	7.655729653
13	7.383566256
14	7.150714835
15	6.936655708
16	6.789783673
17	6.638392576
18	6.497460605
19	6.387579926
20	6.290758634
21	6.175639491
22	6.071938861
23	5.996824852
24	5.917579349
25	5.837925094
26	5.758652361
27	5.692674578
28	5.639605405
29	5.58475604
30	5.546702568
31	5.505196489
32	5.466231275
33	5.439609308
34	5.408065611
35	5.377302875
36	5.345601313
37	5.318178423
38	5.298043462
39	5.280935325
40	5.258767423
41	5.240115989
42	5.227555031
43	5.207792238
44	5.183074815
45	5.160631602
46	5.13838342
47	5.117292953
48	5.108271916
49	5.094123688
50	5.079919418
51	5.062154574
52	5.042923607
53	5.026970326
54	5.012853757
55	5.002669183
56	4.992857916
57	4.976154337
58	4.967872048
59	4.956395203
60	4.93583374
61	4.924278574
62	4.917382953
63	4.910313071
64	4.903688897
65	4.890329996
66	4.876172513
67	4.864957127
68	4.857446596
69	4.841159394
70	4.834384531
71	4.828471765
72	4.818428696
73	4.807264696
74	4.797687745
75	4.793502931
76	4.790190654
77	4.77683001
78	4.766501905
79	4.748040111
80	4.738740481
81	4.73340892
82	4.724852888
83	4.711860693
84	4.702330289
85	4.698279016
86	4.692411023
87	4.681167949
88	4.676091849
89	4.66115163
90	4.655435444
91	4.649269457
92	4.63804691
93	4.623114228
94	4.613605155
95	4.598875506
96	4.593970181
97	4.589616154
98	4.58009023
99	4.576947826
